City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,alba,52.0324,23.1165,1.45,94,87,4.33,PL,1674385148
113,yellowknife,62.456,-114.3525,-10.71,92,100,4.12,CA,1674385183
114,correntina,-13.3433,-44.6367,21.13,93,100,0.99,BR,1674385183
115,sur,22.5667,59.5289,20.85,51,45,5.49,OM,1674385183
116,deputatskiy,69.3,139.9,-40.24,97,61,2.72,RU,1674385183
117,komsomolets,53.7453,62.0708,-6.72,85,27,3.05,KZ,1674385183
118,fort nelson,58.8053,-122.7002,-1.23,69,75,1.54,CA,1674385183
119,itanagar,27.1,93.6167,18.2,46,39,0.12,IN,1674385183
120,pitimbu,-7.4706,-34.8086,26.33,71,6,3.21,BR,1674385184
121,muros,42.7762,-9.0603,11.02,75,87,3.88,ES,1674385184
122,grand baie,-20.0182,57.5802,29.26,73,97,5.26,MU,1674385184
123,bubaque,11.2833,-15.8333,22.15,61,97,5.05,GW,1674385184
124,diamantino,-14.4086,-56.4461,23.29,91,81,1.4,BR,1674385184
125,eydhafushi,5.1033,73.0708,26.78,71,68,5.47,MV,1674385184
126,cape town,-33.9258,18.4232,27.29,59,20,6.17,ZA,1674385185
127,manta,-0.95,-80.7333,24.88,83,100,2.57,EC,1674385185
128,bougouni,11.417,-7.479,34.95,11,2,0.32,ML,1674385185
129,hermanus,-34.4187,19.2345,25.45,66,72,4.76,ZA,1674385186
130,ponta do sol,32.6667,-17.1,17.85,51,41,4.41,PT,1674385186
131,bambous virieux,-20.3428,57.7575,29.14,74,75,7.2,MU,1674385186
132,berlevag,70.8578,29.0864,4.0,70,20,11.32,NO,1674385186
133,healesville,-37.65,145.5167,19.79,90,66,1.01,AU,1674385186
134,juybar,36.6412,52.9124,12.09,50,8,4.01,IR,1674385187
135,kalmunai,7.4167,81.8167,24.44,87,100,3.51,LK,1674385187
136,riachao,-7.3619,-46.6172,23.44,86,77,2.27,BR,1674385187
137,apeldoorn,52.21,5.9694,1.0,90,100,4.63,NL,1674384601
138,tuktoyaktuk,69.4541,-133.0374,-24.43,95,100,1.59,CA,1674385187
139,lorengau,-2.0226,147.2712,27.3,79,100,3.28,PG,1674385187
140,busselton,-33.65,115.3333,27.49,42,0,5.16,AU,1674385187
141,los llanos de aridane,28.6585,-17.9182,17.29,76,75,5.66,ES,1674385188
142,kapaa,22.0752,-159.319,22.18,93,100,2.57,US,1674385188
143,rio grande,-32.035,-52.0986,27.06,82,1,4.1,BR,1674385188
144,areosa,41.7178,-8.8571,9.81,64,61,1.65,PT,1674385188
145,fortuna,40.5982,-124.1573,8.29,94,100,3.6,US,1674385188
146,vargashi,55.3556,65.8467,-4.75,77,100,6.24,RU,1674385188
147,zarinsk,53.7074,84.9493,-23.77,93,71,2.43,RU,1674385188
148,yaransk,57.3033,47.8861,-6.82,90,100,3.23,RU,1674385188
149,maragogi,-9.0122,-35.2225,27.65,63,34,3.08,BR,1674385189
150,meulaboh,4.1363,96.1285,24.24,91,92,1.04,ID,1674385189
151,holland,42.7875,-86.1089,0.25,88,100,0.45,US,1674385189
152,lahstedt,52.2483,10.2325,2.46,81,100,1.79,DE,1674385189
153,kieta,-6.2167,155.6333,26.26,83,99,1.37,PG,1674385189
154,monchegorsk,67.9397,32.8739,-7.34,91,100,3.79,RU,1674385189
155,arona,28.0996,-16.681,16.29,64,20,11.83,ES,1674385189
156,severo-yeniseyskiy,60.3725,93.0408,-30.51,96,100,1.96,RU,1674385189
157,aykhal,66.0,111.5,-31.09,78,99,2.51,RU,1674385189
158,san carlos de bariloche,-41.1456,-71.3082,14.02,67,20,8.23,AR,1674385190
159,maragua,-0.7833,37.1333,26.85,31,100,3.63,KE,1674385190
160,hirara,24.8,125.2833,22.15,78,75,6.17,JP,1674385190
161,halifax,44.6453,-63.5724,-5.0,95,0,4.63,CA,1674385190
162,olafsvik,64.8945,-23.7142,-2.28,65,100,19.98,IS,1674385190
163,hoganas,56.1997,12.558,-0.63,75,6,3.58,SE,1674385190
164,palma di montechiaro,37.1926,13.765,5.73,65,95,6.25,IT,1674385191
165,beira,-19.8436,34.8389,31.89,49,66,4.31,MZ,1674385191
166,ostrovnoy,68.0531,39.5131,-3.03,78,100,11.72,RU,1674385191
167,komsomolskiy,40.4272,71.7189,1.4,47,100,2.06,UZ,1674385191
168,cayenne,4.9333,-52.3333,25.02,88,40,4.63,GF,1674385191
169,razdolnoye,43.55,131.9167,-21.33,88,93,3.65,RU,1674385191
170,hegra,63.4644,11.114,-1.45,58,0,2.57,NO,1674385192
171,tual,-5.6667,132.75,27.75,78,97,7.34,ID,1674385192
172,teya,60.3778,92.6267,-28.67,96,100,2.03,RU,1674385192
173,huejuquilla el alto,22.6,-103.8667,4.48,68,0,0.86,MX,1674385192
174,kahului,20.8947,-156.47,23.25,74,1,2.24,US,1674385192
175,sechura,-5.5569,-80.8222,21.54,77,58,2.73,PE,1674385192
176,isangel,-19.55,169.2667,26.87,85,100,1.6,VU,1674385192
177,olpad,21.3333,72.75,24.99,34,0,3.4,IN,1674385192
178,octeville,49.6261,-1.6435,4.27,81,20,1.54,FR,1674385192
179,pangkalanbuun,-2.6833,111.6167,25.29,89,70,1.52,ID,1674385193
180,sao sebastiao,-23.76,-45.4097,26.8,71,66,1.05,BR,1674385193
181,champerico,14.3,-91.9167,23.28,80,5,3.04,GT,1674385193
182,vaitape,-16.5167,-151.75,26.68,71,96,2.75,PF,1674385193
183,nelson bay,-32.7167,152.15,20.0,94,92,1.79,AU,1674385193
184,hay river,60.8156,-115.7999,-11.01,85,75,12.86,CA,1674385193
185,khatanga,71.9667,102.5,-36.98,81,26,1.6,RU,1674385193
186,dichiseni,44.2333,27.5333,13.9,67,100,5.97,RO,1674385194
187,clinton,42.587,-82.9199,0.53,81,100,1.84,US,1674385194
188,saint pete beach,27.7253,-82.7412,18.43,89,93,0.89,US,1674385194
189,makakilo city,21.3469,-158.0858,23.09,81,75,2.06,US,1674385194
190,westport,41.1415,-73.3579,3.09,71,55,0.45,US,1674385194
191,szydlowiec,51.2282,20.8611,2.95,99,100,3.72,PL,1674384910
192,piacabucu,-10.4056,-36.4344,27.94,65,36,3.26,BR,1674385194
193,havre-saint-pierre,50.2334,-63.5986,-10.0,78,0,2.06,CA,1674385194
194,padang,-0.9492,100.3543,24.03,87,99,0.76,ID,1674385195
195,vavuniya,8.7514,80.4971,24.26,77,100,2.49,LK,1674385195
196,port-gentil,-0.7193,8.7815,29.98,74,40,3.6,GA,1674385195
197,bograd,54.2344,90.8328,-34.27,98,51,2.11,RU,1674385195
198,igarka,67.4667,86.5833,-20.9,96,100,10.0,RU,1674385195
199,bureya,49.8133,129.8131,-41.38,99,32,1.62,RU,1674385195
200,petropavlovsk-kamchatskiy,53.0452,158.6483,-19.57,60,0,5.0,RU,1674384940
201,luanda,-8.8368,13.2343,30.0,66,20,2.06,AO,1674384996
